Team,Wins,Yards,XY,X^2,Y^2
Kansas City Chiefs,14,"4,854",67956,196,23561316
Tampa Bay Buccaneers,11,"4,626",50886,121,21399876
Buffalo Bills,13,"4,620",60060,169,21344400
Houston Texans,4,"4,538",18152,16,20593444
Atlanta Falcons,4,"4,363",17452,16,19035769
Los Angeles Chargers,7,"4,329",30303,49,18740241
Las Vegas Raiders,8,"4,217",33736,64,17783089
Dallas Cowboys,6,"4,161",24966,36,17313921
Green Bay Packers,13,"4,106",53378,169,16859236
Detroit Lions,5,"4,104",20520,25,16842816
Indianapolis Colts,11,"4,053",44583,121,16426809
San Francisco 49ers,6,"4,033",24198,36,16265089
Los Angeles Rams,10,"4,014",40140,100,16112196
Minnesota Vikings,7,"4,009",28063,49,16072081
Pittsburgh Steelers,12,"4,003",48036,144,16024009
Seattle Seahawks,12,"3,941",47292,144,15531481
Arizona Cardinals,8,"3,916",31328,64,15335056
Carolina Panthers,5,"3,888",19440,25,15116544
New Orleans Saints,12,"3,758",45096,144,14122564
Miami Dolphins,10,"3,736",37360,100,13957696
Jacksonville Jaguars,1,"3,699",3699,1,13682601
Chicago Bears,8,"3,655",29240,64,13359025
Tennessee Titans,11,"3,653",40183,121,13344409
Cleveland Browns,11,"3,539",38929,121,12524521
Washington,7,"3,465",24255,49,12006225
Denver Broncos,5,"3,451",17255,25,11909401
Cincinnati Bengals,4,"3,448",13792,16,11888704
Philadelphia Eagles,4,"3,327",13308,16,11068929
New York Giants,6,"3,026",18156,36,9156676
New England Patriots,7,"2,890",20230,49,8352100
New York Jets,2,"2,796",5592,4,7817616
Baltimore Ravens,11,"2,739",30129,121,7502121
Sum,255,122957,997713,2411,481049961
